STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_TT,MO_TX,MO_TN,date_start,date_end,geo_lon,geo_lat,height,name,state
131,20150301,20150331,3,4.94,9.18,1.21,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150401,20150430,3,7.83,13.42,2.46,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150501,20150531,3,12.47,18.08,6.76,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150601,20150630,3,15.39,21.18,10.25,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150701,20150731,3,19.5,25.58,13.89,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150801,20150831,3,20.9,27.25,14.95,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150901,20150930,3,13.14,18.54,8.88,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20151001,20151031,3,7.93,12,4.48,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20151101,20151130,3,7.49,10.85,4.44,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20151201,20151231,3,6.59,9.35,3.59,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160101,20160131,3,0.18,2.75,-2.72,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160201,20160229,3,3.08,6.36,0.2,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160301,20160331,3,3.7,7.27,0.76,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160401,20160430,3,7.8,12.61,3.4,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160501,20160531,3,13.86,19.51,8.47,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160601,20160630,3,17.54,23.42,12.49,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160701,20160731,3,18.58,24.57,13.24,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160801,20160831,3,17.61,23.99,11.88,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20160901,20160930,3,16.88,23.04,11.97,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20161001,20161031,3,8.25,11.56,5.68,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20161101,20161130,3,3.53,6.42,0.95,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20161201,20161231,3,2.06,4.83,-0.61,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170101,20170131,3,-3.12,-0.28,-6.23,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170201,20170228,3,2.29,5.69,-0.63,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170301,20170331,3,7.03,11.42,3.09,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170401,20170430,3,7.08,11.6,3.08,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170501,20170531,3,14.12,19.81,8.45,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170601,20170630,3,17.61,23.68,11.73,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170701,20170731,3,18.5,23.92,13.69,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170801,20170831,3,18.48,24.31,13.24,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20170901,20170930,3,13.02,17.76,9.19,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20171001,20171031,3,11.31,14.99,8.3,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20171101,20171130,3,5.05,7.5,2.34,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20171201,20171231,3,2.6,4.81,0.43,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
222,18810101,18810131,5,-6.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810201,18810228,5,0.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810301,18810331,5,2.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810401,18810430,5,3.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810501,18810531,5,10.3,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810601,18810630,5,13.8,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810701,18810731,5,17,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810801,18810831,5,15.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18810901,18810930,5,11,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18811001,18811031,5,4.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18811101,18811130,5,5.9,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18811201,18811231,5,0.6,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820101,18820131,5,0.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820201,18820228,5,1.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820301,18820331,5,5.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820401,18820430,5,6.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820501,18820531,5,10.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820601,18820630,5,13.3,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820701,18820731,5,16,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820801,18820831,5,13.6,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18820901,18820930,5,12.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18821001,18821031,5,8.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18821101,18821130,5,3.9,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18821201,18821231,5,0.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830101,18830131,5,-0.8,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830201,18830228,5,1.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830301,18830331,5,-3.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830401,18830430,5,4.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830501,18830531,5,11,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830601,18830630,5,15.3,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830701,18830731,5,16.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830801,18830831,5,14.6,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18830901,18830930,5,13.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18831001,18831031,5,8,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18831101,18831130,5,3.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18831201,18831231,5,0,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840101,18840131,5,2.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840201,18840229,5,2.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840301,18840331,5,4.3,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840401,18840430,5,5.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840501,18840531,5,12.3,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840601,18840630,5,12.2,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840701,18840731,5,17.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840801,18840831,5,15.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18840901,18840930,5,13.1,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18841001,18841031,5,7.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18841101,18841130,5,0.5,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18841201,18841231,5,1.6,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850101,18850131,5,-2.7,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850201,18850228,5,2.9,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850301,18850331,5,1.8,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850401,18850430,5,9,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850501,18850531,5,10.1,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850601,18850630,5,16.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850701,18850731,5,16.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850801,18850831,5,13.8,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18850901,18850930,5,12.9,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18851001,18851031,5,7.4,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
222,18851101,18851130,5,2.1,NA,NA,19920419,20080701,12.714,50.5907,387,Aue,Sachsen
